"obj_id","ra","dec","filter","mjd","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","mag","magerr","magsys","limiting_mag"
"ZTF21abbyhvw","166.9944942","36.8756535","ztfr","59365.18768520001","1","ZTF","","","None","125218084","","17.41390037536621","0.03891700133681297","ab","19.280437741238075"
"ZTF21abbyhvw","166.9944962","36.8756276","ztfr","59355.19437499996","1","ZTF","","","None","125218076","","18.6072998046875","0.12464900314807889","ab","19.2099635695719"
"ZTF21abbyhvw","166.9945072","36.8756589","ztfg","59365.19659719989","1","ZTF","","","None","125218085","","17.60379981994629","0.04729599878191947","ab","19.258624606053388"
"ZTF21abbyhvw","166.9944925","36.8756518","ztfr","59367.199213000014","1","ZTF","","","None","125218086","","17.391300201416016","0.04190799966454506","ab","19.177443661101314"
"ZTF21abbyhvw","166.9945473","36.8756677","ztfg","59355.2666782001","1","ZTF","","","None","125218077","","18.372699737548828","0.08847299963235855","ab","19.347558646499976"
"ZTF21abbyhvw","166.9944988","36.875649","ztfg","59367.241388900205","1","ZTF","","","None","125218087","","17.679800033569336","0.04984899982810021","ab","19.277544700068347"
"ZTF21abbyhvw","166.9945006","36.8756629","ztfg","59358.24491900019","1","ZTF","","","None","125218078","","17.836599349975586","0.07092099636793135","ab","19.051548068147238"
"ZTF21abbyhvw","166.9945032","36.8756423","ztfg","59369.22212960012","1","ZTF","","","None","125218088","","17.820899963378906","0.052060998976230614","ab","19.371504509109958"
"ZTF21abbyhvw","","","ztfi","59349.25668979995","1","ZTF","","","None","125218093","","","","ab","19.667600631713867"
"ZTF21abbyhvw","166.9944911","36.8756624","ztfr","59358.2858564998","1","ZTF","","","None","125218079","","17.920799255371094","0.06585499644279479","ab","19.216213217887823"
"ZTF21abbyhvw","166.9944224","36.875607","ztfi","59354.20549769979","1","ZTF","","","None","125218094","","19.19540023803711","0.19297400116920468","ab","19.32353902286461"
